Variety Name,botanical_variety,Origin,cluster,soluble_solids,glucose,fructose,citric_acid
LA2187,S. pimpinellifolium,Peru,pimpinellifolium,7.92,21.85,27.27,12.35
Moneymaker,NA,,transitional,5.10,15.07,14.27,3.85
A pera abruzzese,NA,Italy,heirloom,5.80,16.48,18.91,4.34
my,S. lycopersicum var cerasiforme,,transitional,5.87,22.60,23.31,NA
PLAINSMAN,NA,unknown,heirloom,4.57,13.36,15.23,3.96
Sibirsky Skorospelyj,S. lycopersicum,Russia,heirloom,4.43,13.30,16.87,NA
,S. lycopersicum,Mexico,heirloom,4.37,10.87,13.65,4.20
Earliana,S. lycopersicum,United States,heirloom,4.80,12.42,14.63,4.12
Edkawi,S. lycopersicum,Egypt,heirloom,3.83,9.33,12.36,3.07
Amish Salad,NA,United States,heirloom,4.52,13.28,16.58,2.66
Aunt Ruby's German Green,NA,United States,heirloom,6.19,20.08,23.41,3.42
Black,NA,United States,heirloom,4.87,17.54,20.37,2.23
Bloody Butcher,NA,United States,heirloom,4.81,13.98,17.73,2.87
Chadwick Cherry,NA,United States,transitional,6.73,22.70,25.24,3.91
Cherokee Purple,NA,United States,heirloom,4.70,11.98,13.15,2.18
Cherry Roma,NA,United States,heirloom,6.50,21.95,24.26,4.29
Clear Pink Slicer,NA,United States,transitional,4.50,11.02,13.44,3.05
,NA,,heirloom,4.20,11.67,16.62,NA
Costoluto Genovese,NA,United States,heirloom,4.47,12.99,14.38,1.84
Crimson Sprinter,NA,United States,heirloom,7.73,24.30,24.56,4.42
Czech Bush Red,NA,United States,heirloom,4.45,13.80,15.75,1.91
Dixie Golden Giant,NA,United States,heirloom,5.32,17.61,19.70,2.57
Early Red Chief,NA,United States,heirloom,4.43,12.39,14.55,2.62
Garden Peach,NA,United States,heirloom,4.23,12.41,15.07,3.62
German Head,NA,United States,heirloom,4.85,15.48,17.39,2.76
German Queen,NA,United States,heirloom,6.08,20.94,21.58,3.81
Giant Belgium,NA,United States,heirloom,5.32,17.22,19.53,2.89
Giant Oxheart,NA,United States,heirloom,4.03,12.94,15.36,2.46
05-4126 (97-49-2),NA,unknown,heirloom,5.20,15.20,17.41,2.09
Glacier,NA,United States,transitional,4.73,12.94,16.66,3.64
Green Zebra,NA,United States,heirloom,4.88,13.85,16.17,4.10
Gulf State Market ,NA,United States,heirloom,5.40,19.27,21.84,3.11
Hillbilly,NA,United States,heirloom,4.53,14.49,18.53,1.47
Japanese Black Trifele,NA,United States,heirloom,4.18,13.62,16.31,2.39
Kentucky Beefsteak,NA,United States,heirloom,5.78,19.10,20.45,2.26
Large Red Cherry,NA,United States,heirloom,5.18,13.44,17.23,3.83
Legend,NA,United States,heirloom,6.60,20.46,21.80,3.16
Lemon Drop,NA,United States,transitional,6.38,20.20,23.28,5.92
Livingston's Globe,NA,United States,heirloom,5.40,17.54,18.79,2.60
LA2095,S. lycopersicum var cerasiforme,Ecuador,pimpinellifolium,4.27,13.01,15.53,NA
Livingston's Golden Queen,NA,United States,heirloom,5.88,18.93,19.78,3.33
Livingston's Stone,NA,United States,heirloom,4.50,13.13,15.38,2.52
Maglia Rosa Cherry,NA,United States,heirloom,6.26,20.09,21.92,3.89
Marmande VFA,NA,United States,heirloom,4.33,6.35,6.75,2.51
Martian Giant,NA,United States,heirloom,5.20,16.81,18.76,2.25
Matina,NA,United States,transitional,5.47,14.91,17.84,2.97
Matt's Wild Cherry,NA,United States,cerasiforme,8.00,20.03,22.65,6.66
Mexico Midget,NA,United States,heirloom,6.03,17.70,21.26,5.87
Micado Violettor,NA,United States,heirloom,5.43,15.24,17.89,2.48
Mr. Stripey,NA,United States,heirloom,4.23,13.02,15.21,1.49
cerise rose,S. lycopersicum var cerasiforme,,heirloom,5.00,17.13,20.68,NA
Nyagous,NA,United States,heirloom,5.13,17.47,20.25,1.73
Oaxacan Pink,NA,United States,heirloom,5.55,17.43,21.09,4.96
Old Brooks,NA,United States,heirloom,4.35,12.81,15.33,2.04
Orange Queen,NA,United States,heirloom,4.95,15.79,17.11,3.34
Oregon Spring Bush,NA,United States,heirloom,4.00,10.57,12.67,3.19
Peacevine Cherry,NA,United States,transitional,6.07,17.51,19.57,5.18
Peron Sprayless,NA,United States,heirloom,4.77,14.07,16.37,2.22
Ponderosa Pink,NA,United States,heirloom,4.68,14.91,17.16,2.29
Ponderosa Red,NA,United States,heirloom,4.60,15.34,17.00,2.33
PONDEROSA,NA,Unknown,heirloom,4.70,16.54,18.84,NA
Red Calabash,NA,United States,heirloom,6.06,18.14,22.40,4.19
Red House Free Standing,NA,United States,heirloom,4.06,9.59,11.82,2.77
Red Pear,NA,United States,heirloom,5.56,16.25,19.64,4.02
Rose Tomato,NA,United States,heirloom,4.83,15.91,17.82,3.27
Santiam,NA,United States,heirloom,4.05,9.76,12.97,2.57
Skorospelka Red ,NA,United States,heirloom,4.92,12.52,15.49,3.82
St. Pierre,NA,,heirloom,5.43,17.61,18.81,0.61
Stupice,NA,United States,transitional,4.60,12.58,16.28,2.77
Sunray,NA,United States,heirloom,5.12,12.77,14.99,4.81
Super Sioux,NA,United States,heirloom,5.37,17.39,18.71,3.08
LA1320,S. lycopersicum var cerasiforme,Peru,heirloom,4.53,11.82,13.93,NA
Thai Pink Cherry,NA,United States,heirloom,4.45,13.03,15.05,3.20
Three Sisters,NA,United States,heirloom,5.67,18.28,20.14,2.50
Tigerella Orange,NA,United States,transitional,3.52,11.88,14.67,2.27
Tommy Toe,NA,United States,heirloom,5.28,14.38,18.34,3.69
Valencia,NA,United States,heirloom,4.62,12.56,14.10,3.87
Watermelon Beefsteak,NA,United States,heirloom,5.15,17.56,20.73,1.98
Wisconsin 55,NA,United States,heirloom,5.57,17.04,18.85,3.59
Yellow Perfection,NA,United States,heirloom,6.30,19.95,21.57,3.07
Zapotec,NA,United States,heirloom,3.95,11.55,14.09,1.60
LA1307,S. lycopersicum var cerasiforme,Peru,heirloom,5.50,18.79,20.50,NA
Abraham Lincoln Original ,NA,United States,heirloom,4.77,16.80,18.25,3.66
Amana Orange,NA,United States,heirloom,4.67,16.02,17.45,3.05
Andrew Rahart's Jumbo Red,NA,United States,heirloom,4.73,15.88,16.66,2.88
Anna Russian,NA,United States,heirloom,4.56,12.25,14.68,3.28
Arkansas Traveler,NA,United States,modern,4.77,15.29,17.09,2.67
Azoychka Russian,NA,United States,heirloom,4.57,14.56,17.51,2.80
Beefsteak,NA,United States,modern,4.80,17.33,19.74,1.91
Black Brandywine,NA,United States,modern,4.63,14.12,15.40,2.84
Black Krim,NA,United States,heirloom,4.68,12.81,15.38,3.05
Black Prince,NA,United States,heirloom,4.27,12.19,15.47,1.75
Cosmonaut Volkov Red,S. lycopersicum,Russia,heirloom,4.20,12.33,14.41,5.19
Black Sea Man,NA,United States,heirloom,4.53,13.64,16.47,3.35
Box Car Willie,NA,United States,heirloom,5.33,16.75,17.45,3.99
Brown Berry,NA,United States,transitional,5.20,16.70,19.42,3.59
Burbank,NA,United States,heirloom,4.36,10.82,13.27,2.84
