year,month,max_temperature,order
1921,May,26.93,5
1922,May,24.69,5
1923,May,23.2,5
1924,May,23.83,5
1925,May,24.72,5
1926,May,24.52,5
1927,May,24.82,5
1928,May,24.66,5
1929,May,24.03,5
1930,May,25.25,5
1931,May,22.07,5
1932,May,23.28,5
1933,May,26.02,5
1934,May,25.84,5
1935,May,27.33,5
1936,May,27.35,5
1937,May,24.61,5
1938,May,25.48,5
1939,May,26.95,5
1940,May,26.88,5
1941,May,25.2,5
1942,May,23.54,5
1943,May,26.16,5
1944,May,25.83,5
1945,May,26.6,5
1946,May,25.48,5
1947,May,25.52,5
1948,May,25.56,5
1949,May,26.61,5
1950,May,27.41,5
1951,May,27.21,5
1952,May,27.31,5
1953,May,25.83,5
1954,May,23.53,5
1955,May,24.53,5
1956,May,21.56,5
1957,May,27.28,5
1958,May,24.17,5
1959,May,25.05,5
1960,May,23.1,5
1961,May,26.47,5
1962,May,23.56,5
1963,May,25.71,5
1964,May,26.99,5
1965,May,25.04,5
1966,May,25.64,5
1967,May,29.55,5
1968,May,25.42,5
1969,May,26.49,5
1970,May,26.68,5
1971,May,24.22,5
1972,May,27.56,5
1973,May,24.46,5
1974,May,25.28,5
1975,May,24.88,5
1976,May,24.13,5
1977,May,24.15,5
1978,May,26.4,5
1979,May,24.31,5
1980,May,26.11,5
1981,May,28.14,5
1982,May,26.27,5
1983,May,23.52,5
1984,May,26.41,5
1985,May,27.05,5
1986,May,26.11,5
1987,May,21.73,5
1988,May,21.83,5
1989,May,24.94,5
1990,May,24.17,5
1991,May,26.65,5
1992,May,25.02,5
1993,May,25.65,5
1994,May,27.81,5
1995,May,24.64,5
1996,May,25.58,5
1997,May,26.15,5
1998,May,24.54,5
1999,May,23.51,5
2000,May,23.54,5
2001,May,22.97,5
2002,May,26.51,5
2003,May,25.78,5
2004,May,21.4,5
2005,May,25.71,5
2006,May,23.48,5
2007,May,22.05,5
2008,May,25.3,5
2009,May,26.26,5
2010,May,22.34,5
2011,May,24.62,5
2012,May,26.32,5
2013,May,25.2,5
2014,May,24.21,5
2015,May,24.57,5
2016,May,21.7,5
2017,May,23.89,5
2018,May,26.55,5
2019,May,24.12,5
2020,May,25.9,5
1901,Jun,24.72,6
1902,Jun,25.7,6
1903,Jun,23.67,6
1904,Jun,23.27,6
1905,Jun,24.28,6
1906,Jun,21.63,6
1907,Jun,22.18,6
1908,Jun,24.08,6
1909,Jun,22.19,6
1910,Jun,24.35,6
1911,Jun,22.05,6
1912,Jun,23.29,6
1913,Jun,23.08,6
1914,Jun,24.38,6
1915,Jun,20.03,6
1916,Jun,20.49,6
1917,Jun,22.31,6
1918,Jun,22.39,6
1919,Jun,22.65,6
1920,Jun,21.77,6
1921,Jun,20.51,6
1922,Jun,20.43,6
1923,Jun,23.25,6
1924,Jun,22.87,6
1925,Jun,21.51,6
1926,Jun,24.93,6
1927,Jun,21.15,6
1928,Jun,21.26,6
1929,Jun,21.33,6
1930,Jun,26.72,6
1931,Jun,20.65,6
1932,Jun,23.29,6
1933,Jun,22.94,6
1934,Jun,25.75,6
1935,Jun,24.94,6
1936,Jun,24.11,6
1937,Jun,25.5,6
1938,Jun,23.7,6
1939,Jun,25.45,6
1940,Jun,24.57,6
1941,Jun,23.46,6
1942,Jun,20.02,6
1943,Jun,22.52,6
1944,Jun,25.14,6
1945,Jun,22.34,6
1946,Jun,21.14,6
1947,Jun,25.43,6
1948,Jun,24.92,6
1949,Jun,24.02,6
1950,Jun,23.73,6
1951,Jun,24.92,6
1952,Jun,19.08,6
1953,Jun,23.19,6
1954,Jun,23.1,6
1955,Jun,23.97,6
1956,Jun,20.97,6
1957,Jun,22.76,6
1958,Jun,25.54,6
1959,Jun,23.49,6
1960,Jun,23.98,6
1961,Jun,22.3,6
1962,Jun,23.81,6
1963,Jun,23.37,6
1964,Jun,21.67,6
1965,Jun,26.42,6
1966,Jun,25.3,6
1967,Jun,19.91,6
1968,Jun,22.97,6
1969,Jun,23.23,6
1970,Jun,23.06,6
1971,Jun,20.38,6
1972,Jun,24.5,6
1973,Jun,23.2,6
1974,Jun,22.29,6
1975,Jun,24.2,6
1976,Jun,23.01,6
1977,Jun,24.42,6
1978,Jun,24.24,6
1979,Jun,23.04,6
1980,Jun,21.85,6
1981,Jun,21.68,6
1982,Jun,22.06,6
1983,Jun,20.06,6
1984,Jun,18.77,6
1985,Jun,23.88,6
1986,Jun,25.11,6
1987,Jun,23.52,6
1988,Jun,22.19,6
1989,Jun,22.84,6
1990,Jun,20.67,6
1991,Jun,23.85,6
1992,Jun,24.79,6
1993,Jun,24.05,6
1994,Jun,25.84,6
1995,Jun,24.63,6
1996,Jun,20.16,6
1997,Jun,22.71,6
1998,Jun,23.4,6
1999,Jun,21.71,6
2000,Jun,23.05,6
2001,Jun,23.11,6
2002,Jun,21.78,6
2003,Jun,25.88,6
2004,Jun,23.81,6
2005,Jun,23.24,6
2006,Jun,24.18,6
2007,Jun,23.32,6
2008,Jun,21.08,6
2009,Jun,21.99,6
2010,Jun,22.4,6
2011,Jun,22.07,6
2012,Jun,23.17,6
2013,Jun,23.02,6
2014,Jun,22.29,6
2015,Jun,24.24,6
2016,Jun,20.12,6
2017,Jun,23.15,6
2018,Jun,21.94,6
2019,Jun,24.63,6
2020,Jun,25.27,6
1901,Jul,25.01,7
1902,Jul,24.3,7
1903,Jul,23.82,7
1904,Jul,25.2,7
1905,Jul,22.96,7
1906,Jul,23.97,7
1907,Jul,23.72,7
1908,Jul,24.53,7
1909,Jul,23.59,7
1910,Jul,23.86,7
1911,Jul,23.56,7
1912,Jul,22.55,7
1913,Jul,25.7,7
1914,Jul,25.4,7
1915,Jul,23.83,7
1916,Jul,21.54,7
1917,Jul,22.23,7
1918,Jul,23.18,7
1919,Jul,24.44,7
1920,Jul,21.39,7
1921,Jul,22.07,7
1922,Jul,24.85,7
1923,Jul,21.86,7
1924,Jul,23.03,7
1925,Jul,22.74,7
1926,Jul,23.5,7
1927,Jul,23.6,7
1928,Jul,22.76,7
1929,Jul,23.29,7
1930,Jul,23.37,7
1931,Jul,23.75,7
1932,Jul,26.98,7
1933,Jul,21.08,7
1934,Jul,23.98,7
1935,Jul,23.43,7
1936,Jul,23.77,7
1937,Jul,23.77,7
1938,Jul,24.62,7
1939,Jul,23.96,7
1940,Jul,25.76,7
1941,Jul,24.54,7
1942,Jul,21.41,7
1943,Jul,23.96,7
1944,Jul,25.6,7
1945,Jul,24.88,7
1946,Jul,21.92,7
1947,Jul,21.69,7
1948,Jul,24.44,7
1949,Jul,23.18,7
1950,Jul,23.86,7
1951,Jul,26.33,7
1952,Jul,24.92,7
1953,Jul,20.27,7
1954,Jul,22.93,7
1955,Jul,19.94,7
1956,Jul,23.03,7
1957,Jul,20.88,7
1958,Jul,26.24,7
1959,Jul,26.07,7
1960,Jul,23.98,7
1961,Jul,24.05,7
1962,Jul,18.72,7
1963,Jul,25.72,7
1964,Jul,23.58,7
1965,Jul,23.42,7
1966,Jul,24.88,7
1967,Jul,23.22,7
1968,Jul,25.26,7
1969,Jul,26.52,7
1970,Jul,23.94,7
1971,Jul,25.73,7
1972,Jul,22.77,7
1973,Jul,20.45,7
1974,Jul,24.89,7
1975,Jul,22.67,7
1976,Jul,24.05,7
1977,Jul,24.9,7
1978,Jul,26.47,7
1979,Jul,24.52,7
1980,Jul,23.33,7
1981,Jul,23.61,7
1982,Jul,23.88,7
1983,Jul,20.15,7
1984,Jul,23.93,7
1985,Jul,22.93,7
1986,Jul,23.82,7
1987,Jul,25.84,7
1988,Jul,21.64,7
1989,Jul,22.51,7
1990,Jul,20.73,7
1991,Jul,23.52,7
1992,Jul,19.61,7
1993,Jul,21.92,7
1994,Jul,23.99,7
1995,Jul,24.61,7
1996,Jul,23.23,7
1997,Jul,25.6,7
1998,Jul,24.66,7
1999,Jul,20.79,7
2000,Jul,20.38,7
2001,Jul,25.48,7
2002,Jul,22.37,7
2003,Jul,23.85,7
2004,Jul,23.08,7
2005,Jul,23.58,7
2006,Jul,26.99,7
2007,Jul,21.56,7
2008,Jul,26.76,7
2009,Jul,21.57,7
2010,Jul,22.46,7
2011,Jul,22.86,7
2012,Jul,21.95,7
2013,Jul,23.59,7
2014,Jul,23.75,7
2015,Jul,23.49,7
2016,Jul,23.24,7
2017,Jul,25.77,7
2018,Jul,21.72,7
2019,Jul,22.18,7
2020,Jul,23.69,7
1901,Aug,26.71,8
1902,Aug,23.62,8
1903,Aug,26.11,8
1904,Aug,26.47,8
1905,Aug,26.79,8
1906,Aug,26.44,8
1907,Aug,25.22,8
1908,Aug,25.84,8
1909,Aug,28.66,8
1910,Aug,27.53,8
1911,Aug,25.23,8
1912,Aug,25.71,8
1913,Aug,26.58,8
1914,Aug,26.34,8
1915,Aug,27.22,8
1916,Aug,25.71,8
1917,Aug,25.51,8
1918,Aug,26.05,8
1919,Aug,25.88,8
1920,Aug,25.3,8
1921,Aug,26.27,8
1922,Aug,25.37,8
1923,Aug,26.14,8
1924,Aug,24.85,8
1925,Aug,28.21,8
1926,Aug,27.15,8
1927,Aug,26.02,8
1928,Aug,25.66,8
1929,Aug,25.62,8
1930,Aug,25.3,8
1931,Aug,26.07,8
1932,Aug,25.3,8
1933,Aug,28.01,8
1934,Aug,26.61,8
1935,Aug,26.85,8
1936,Aug,24.68,8
1937,Aug,28.39,8
1938,Aug,24.9,8
1939,Aug,29.06,8
1940,Aug,25.11,8
1941,Aug,28.22,8
1942,Aug,27.98,8
1943,Aug,24.24,8
1944,Aug,29.77,8
1945,Aug,30.33,8
1946,Aug,28.12,8
1947,Aug,25.19,8
1948,Aug,25.92,8
1949,Aug,26.67,8
1950,Aug,28.46,8
1951,Aug,27.18,8
1952,Aug,28.12,8
1953,Aug,30.38,8
1954,Aug,27.1,8
1955,Aug,26.65,8
1956,Aug,25.24,8
1957,Aug,27.13,8
1958,Aug,23.79,8
1959,Aug,25.29,8
1960,Aug,26.6,8
1961,Aug,30.78,8
1962,Aug,26.3,8
1963,Aug,29,8
1964,Aug,26.72,8
1965,Aug,27.34,8
1966,Aug,26.31,8
1967,Aug,27.09,8
1968,Aug,26.69,8
1969,Aug,25.61,8
1970,Aug,25.86,8
1971,Aug,26.54,8
1972,Aug,24.7,8
1973,Aug,23.49,8
1974,Aug,25.21,8
1975,Aug,24.65,8
1976,Aug,25.88,8
1977,Aug,25.79,8
1978,Aug,25.4,8
1979,Aug,28.29,8
1980,Aug,26.99,8
1981,Aug,28.36,8
1982,Aug,27.29,8
1983,Aug,25.2,8
1984,Aug,23.37,8
1985,Aug,24.17,8
1986,Aug,26.73,8
1987,Aug,25.49,8
1988,Aug,27.69,8
1989,Aug,27.03,8
1990,Aug,28.17,8
1991,Aug,27.18,8
1992,Aug,25.21,8
1993,Aug,26.88,8
1994,Aug,27.18,8
1995,Aug,26.94,8
1996,Aug,28.53,8
1997,Aug,27.07,8
1998,Aug,23.76,8
1999,Aug,27.23,8
2000,Aug,27.3,8
2001,Aug,29.91,8
2002,Aug,27.63,8
2003,Aug,25.56,8
2004,Aug,25.89,8
2005,Aug,27.79,8
2006,Aug,28.14,8
2007,Aug,23.58,8
2008,Aug,27.32,8
2009,Aug,27.98,8
2010,Aug,25.53,8
2011,Aug,26.21,8
2012,Aug,27.99,8
2013,Aug,25.06,8
2014,Aug,28.93,8
2015,Aug,28.91,8
2016,Aug,28.21,8
2017,Aug,28.77,8
2018,Aug,25.19,8
2019,Aug,26.64,8
2020,Aug,29.18,8
1901,Sep,31.13,9
1902,Sep,30.07,9
1903,Sep,30.94,9
1904,Sep,30.24,9
1905,Sep,29.3,9
1906,Sep,28.65,9
1907,Sep,28.05,9
1908,Sep,28.12,9
1909,Sep,29.28,9
1910,Sep,28.5,9
1911,Sep,27.59,9
1912,Sep,28.87,9
1913,Sep,28.37,9
1914,Sep,27.71,9
1915,Sep,27.64,9
1916,Sep,29.96,9
1917,Sep,28.59,9
1918,Sep,28.18,9
1919,Sep,27.8,9
1920,Sep,28.83,9
1921,Sep,27.36,9
1922,Sep,28.24,9
1923,Sep,28.63,9
1924,Sep,27.32,9
1925,Sep,28.91,9
1926,Sep,29.29,9
1927,Sep,28.18,9
1928,Sep,27.22,9
1929,Sep,28.61,9
1930,Sep,28.16,9
1931,Sep,26.72,9
1932,Sep,28.82,9
1933,Sep,28.91,9
1934,Sep,28.88,9
1935,Sep,27.62,9
1936,Sep,29.51,9
1937,Sep,28.1,9
1938,Sep,29.2,9
1939,Sep,27.73,9
1940,Sep,28.48,9
1941,Sep,26.88,9
1942,Sep,29.04,9
1943,Sep,29.7,9
1944,Sep,32.48,9
1945,Sep,29.04,9
1946,Sep,30.95,9
1947,Sep,28.05,9
1948,Sep,30.76,9
1949,Sep,28.54,9
1950,Sep,28.31,9
1951,Sep,29.91,9
1952,Sep,27.86,9
1953,Sep,32.27,9
1954,Sep,28.13,9
1955,Sep,29.16,9
1956,Sep,28.79,9
1957,Sep,26.35,9
1958,Sep,29.04,9
1959,Sep,28.62,9
1960,Sep,29.12,9
1961,Sep,28.73,9
1962,Sep,30.54,9
1963,Sep,28,9
1964,Sep,28.86,9
1965,Sep,26.62,9
1966,Sep,28.38,9
1967,Sep,28.57,9
1968,Sep,28.25,9
1969,Sep,31.76,9
1970,Sep,29.9,9
1971,Sep,31.03,9
1972,Sep,29.99,9
1973,Sep,26.72,9
1974,Sep,27.02,9
1975,Sep,27.5,9
1976,Sep,27.99,9
1977,Sep,30.96,9
1978,Sep,30.21,9
1979,Sep,26.16,9
1980,Sep,27.9,9
1981,Sep,26.27,9
1982,Sep,28.72,9
1983,Sep,27.05,9
1984,Sep,29.2,9
1985,Sep,26.51,9
1986,Sep,27.56,9
1987,Sep,28.58,9
1988,Sep,27.24,9
1989,Sep,26.5,9
1990,Sep,27.18,9
1991,Sep,28.97,9
1992,Sep,27.03,9
1993,Sep,27.56,9
1994,Sep,29.97,9
1995,Sep,28.86,9
1996,Sep,27.33,9
1997,Sep,30.08,9
1998,Sep,27.13,9
1999,Sep,31.51,9
2000,Sep,28.46,9
2001,Sep,27.88,9
2002,Sep,29.22,9
2003,Sep,30.61,9
2004,Sep,29.48,9
2005,Sep,25.86,9
2006,Sep,29.45,9
2007,Sep,30.48,9
2008,Sep,28.12,9
2009,Sep,27.44,9
2010,Sep,28.39,9
2011,Sep,30.96,9
2012,Sep,31.2,9
2013,Sep,28.6,9
2014,Sep,30.38,9
2015,Sep,29.51,9
2016,Sep,28.86,9
2017,Sep,29.52,9
2018,Sep,30.32,9
2019,Sep,29.9,9
2020,Sep,30.61,9
1901,Oct,31.83,10
1902,Oct,30.07,10
1903,Oct,29.14,10
1904,Oct,29.4,10
1905,Oct,30.62,10
1906,Oct,30.85,10
1907,Oct,29.77,10
1908,Oct,29.79,10
1909,Oct,29.55,10
1910,Oct,29.99,10
1911,Oct,29.67,10
1912,Oct,30.84,10
1913,Oct,30.6,10
